Membership No  Date Joined  Active  
    97543      2019-7-24    no    
    18799      2016-6-23    no    
    15823      2020-12-11   no    
    43344      2018-2-25    no    
    62981      2016-1-18    no    
    65908      2015-7-1     no    
    62220      2019-5-7     no    
    34200      2015-9-24    no    
    54058      2020-8-25    no    
    85163      2020-8-16    no    
    50213      2018-7-4     no    
    86812      2020-7-22    no    
    91027      2015-7-16    no    
    24601      2020-10-17   no    
    89974      2018-2-12    no    
    94835      2019-5-20    no    
