Membership No  Date Joined  Active  
    57735      2016-9-18    no    
    12359      2019-4-13    yes   
    71514      2020-2-2     no    
    68880      2015-6-7     yes   
    49469      2016-6-4     yes   
    87991      2016-7-3     no    
    76946      2019-8-20    yes   
    43729      2017-2-22    no    
    32120      2020-2-7     yes   
    21207      2018-5-13    no    
    50970      2020-9-5     yes   
    97129      2017-2-10    yes   
    80682      2016-5-18    no    
    46820      2017-12-21   yes   
    45009      2018-5-21    no    
    30451      2016-12-7    yes   
    89723      2018-10-15   no    
    77541      2018-12-9    yes   
    37278      2019-8-11    yes   
    57607      2016-3-7     yes   
