Membership No  Date Joined  Active  
    75410      2017-1-14    yes   
    64072      2019-1-21    yes   
    23975      2019-3-24    yes   
    84604      2020-6-18    no    
    18281      2019-5-22    yes   
    96961      2018-6-18    yes   
    69977      2017-1-15    yes   
    45060      2015-11-20   yes   
    87037      2018-8-19    no    
    22766      2018-6-10    yes   
    41129      2016-12-15   yes   
    65502      2015-1-5     yes   
    53866      2015-12-4    no    
    67643      2017-2-22    yes   
    25762      2017-8-20    yes   
    93425      2016-7-1     no    
    42152      2015-11-9    yes   
    26022      2019-2-8     yes   
    46476      2018-10-23   yes   
    64162      2015-4-15    yes   
