Membership No  Date Joined  Active  
    20594      2019-6-18    no    
    96079      2019-2-24    no    
    57511      2016-7-1     no    
    86647      2015-8-11    no    
    82313      2018-12-1    no    
    61517      2019-11-17   no    
    68337      2017-5-14    no    
    39005      2015-4-6     no    
    20513      2015-5-9     no    
    91274      2015-7-12    no    
    89910      2015-11-17   no    
    62689      2017-2-23    no    
    42757      2015-3-24    no    
    48299      2017-11-8    no    
